period,count
probably reign of amenhotep iii new kingdom,1
"reign of ramesses iii or later new kingdom, ramesside or later",1
"reign of thutmose iii, early new kingdom",1
joint reign of hatshepsut and thutmose iii original: new kingdom,1
reign of amenhotep i-thutmose iii twentieth century,1
reign of snefru original: old kingdom,1
reign of tao i to joint reign late second intermediate period-early new kingdom,1
reign of apophis second intermediate period,1
reign of khayan second intermediate period,1
reign of sebekhotep iii late middle kingdom,1
reign of sobekhotep late middle kingdom,1
reign of iaib middle kingdom-second intermediate period,1
reign of amenemhat vii late middle kingdom,1
reign of amenemhat vi middle kingdom,1
reign of sehetepibre ii late middle kingdom,1
reign of sebekhotep ii late middle kingdom,1
reign of senwosret iii possibly middle kingdom,1
late middle kingdom or second intermediate period,1
reign of amenemhat ii-senwosret ii middle kingdom,1
possibly reign of amenemhat iv middle kingdom,1
reign of amenemhat i -senwosret i middle kingdom,1
"predynastic, naqada ii-early dynastic period",1
neolithicum,1
nemtiemsaf i,1
vespasian,1
psusennes iii,1
khaian,1
menkauhor,1
ka,1
31st dynasty,1
ramesses vi,1
cleopatra ii,1
peribsen,1
nemtiemsaf ii,1
dynasty 0,1
asosi,1
sethnakht,1
