object_classification,count
antefix,2
personal ornament,2
skull-cap,2
"bowl  ,  offering-bowl",2
scissors,2
"figure ,  bracelet",2
"bead ,  spacer-bead",2
hammerstone,2
"textile ,  garment ,  tunic ,  mummy-wrapping",2
"pounder ,  hammerstone",2
"ear-plug ,  bead",2
"coffin ,  mummy-wrapping ,  human mummy",2
"animal mummy ,  mummy-wrapping ,  cartonnage",2
"lamp-stand ,  candelabrum",2
"carpet ,  textile",2
"textile ,  cushion-cover",2
"hat ,  textile",2
rasp,2
"plate ,  bowl",2
"coffin ,  cartonnage",2
codex,2
"broom ,  brush",2
strap,2
"mattock ,  hoe ,  adze",2
"flake ,  blade",2
"weight ,  grinder",2
dipper,2
sling,2
"talisman ,  plaque",2
"architecture ,  plaque",2
psykter,2
"drawing ,  album ,  print study",2
"scaraboid ,  game-piece",2
decorated shell,2
kalathos,2
"inlay  ,  artefact",2
"pendant ,  medallion",2
"print ,  forgery",2
"figure ,  vessel ,  alabastron",2
"knife ,  mirror",2
shamma,2
"vessel ,  krater",2
"lekanis  ,  lid",2
"ring ,  boat-fitting",2
"finger-ring ,  seal",2
"sealing ,  seal-impression ,  stopper",2
"bead ,  eye-bead",2
"bowl  ,  figure",2
"scaraboid ,  button seal",2
"stela ,  relief",2
pen-box,2
"envelope ,  postage-stamp",2
salver,2
chamber-pot,2
seat,2
"print ,  satirical print ,  broadside",2
cloak,2
beer-mug,2
"textile ,  bed-cover",2
molar flask,2
"sistrum ,  model ,  votive offering",2
"plaque  ,  pendant",2
"finger-ring ,  intaglio",2
"figure ,  model",2
"stamp-seal ,  pendant",2
"oinochoe ,  flagon",2
bodkin,2
"jar ,  forgery",2
"print ,  book ,  book-illustration",2
"eye-bowl ,  eye-cup",2
"figure ,  sculpture",2
"print ,  book ,  book-illustration ,  newspaper/periodical",2
borer,2
"plaque ,  relief",2
"print ,  blockbook",2
bolt,2
"bell krater  ,  calyx-krater",2
"print ,  book-illustration ,  map",2
"print ,  advertisement",2
"scaraboid ,  plaque",2
"toy ,  figure",2
potter's stamp,2
"phial ,  bottle",2
poker,2
"print ,  album",2
"lid  ,  lekanis",2
fishing-line-weight,2
"figure ,  seal  ,  amulet",2
"libation-vase  ,  foundation-deposit",2
eye-bowl,2
"painting ,  charm",2
bridle,2
"staff ,  model ,  votive offering",2
chape,2
"figure ,  pendant",2
"cup ,  kotyle",2
head-rope,2
"relief ,  plaque ,  figure",2
"pendant ,  tool/implement",2
"mortar ,  foundation-deposit ,  model",2
"doll  ,  figurine",2
"compass ,  sundial ,  qibla indicator",2
"cylinder seal ,  forgery",2
"bowl ,  waster",2
"relief ,  plaque",2
"stand ,  perirrhanterion",2
"model ,  foundation-deposit",2
"drawing ,  collage",2
"seal-ring ,  intaglio",1
"spindle ,  yarn",1
"textile ,  bag ,  knife  ,  sample",1
"funerary equipment  ,  textile",1
"textile ,  mantle ,  cloak ,  garment",1
"textile ,  ribbon",1
"textile ,  garment ,  mantle ,  cloak",1
"belt ,  textile",1
"dress ,  coin",1
"textile ,  tunic ,  garment",1
girth,1
"spindle ,  spindle-whorl ,  yarn",1
"nail ,  artefact",1
"textile ,  kilt",1
plank,1
"textile ,  bead",1
"clarinet ,  musical pipe",1
