,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
443,RC-1258 - Shawabti,Egyptian,26TH,685 - 525 BCE,Saite Period,Faience,Ritual Objects,580.jpg
444,RC-1261 - Senet Board,Egyptian,18TH,1549-1069 BCE,New Kingdom,Wood,Toys/Games,535.jpg
445,RC-1365 - Animal Amulet,Mesopotamian,,3000 BCE,Sumerian,Marble,Sumerian,710.jpg
446,RC-1367 - Animal Amulet,Mesopotamian,,3000 BCE,Sumerian,Jasper,Sumerian,310.jpg
447,RC-1368 - Animal Amulet,Mesopotamian,,3000 BCE,Sumerian,Marble,Sumerian,235.jpg
448,RC-1395 - Deer Hair Pin,Mesopotamian,,,,Bronze,Persian,278.jpg
449,RC-1396 - Moorish Oriental Lamp,,,1400 - 1599 CE,Modern,Brass,Lamps,226.jpg
450,RC-1425 - Osiris,Egyptian,,,,Bronze,Sculpture,865.jpg
451,RC-1430 - Vase,Egyptian,,2524-2400 BCE,,Limestone,Vessels,84.jpg
452,RC-1445 - Sandal,Egyptian,18 - 20TH TO ?,1570 - ?,New Kingdom To Later,Papyrus Stalks,Toiletries,130.jpg
453,RC-1449 - Vase,,,,,Glass,Vessels,851.jpg
454,RC-1462 - Necklace,Egyptian,,,,,Jewelry,66.jpg
455,RC-1477 - Figure,Egyptian,,,Predynastic,Burned Clay,Sculpture,999.jpg
456,RC-1507 - Imhotep,Egyptian,26TH,600 BCE,3rd Intermediate,Bronze,Sculpture,1000.jpg
457,RC-1508 - Shawabti,Egyptian,26TH,685-525 BCE,Saite Period,Faience,Ritual Objects,975.jpg
458,RC-1510 - Seated Sekhmet,Egyptian,26TH,600 BCE,Saite Period,Faience,Sculpture,1001.jpg
459,RC-1512 - Mirror,Egyptian,18TH,1570-1293 BCE,New Kingdom,Bronze,Toiletries,781.jpg
460,RC-1513 - Razor/Tweezers,Egyptian,26TH,600 BCE,3rd Intermediate,Bronze,Toiletries,813.jpg
461,RC-1550 - Razor,Egyptian,27-30TH,525-343 BCE,Late Period,Bronze,Toiletries,695.jpg
462,RC-1553 - Cup,Egyptian,18TH,1500 BCE,New Kingdom,Faience,Vessels,196.jpg
463,RC-1568 - Bag,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Hemp,Tools,471.jpg
464,RC-1569 - Sandal,Egyptian,,1570 - ?,New Kingdom Or Later,Split Papyrus Stalks,Toiletries,70.jpg
465,RC-1570 - Gazelle Mummy,Egyptian,20-26,Dynasty 22-Late Period,Late Period,gazelle mummy,Funerary,290.jpg
466,RC-1572 - Striding Thoth,Egyptian,26TH,685 - 525 BCE,Saite,Bronze,Sculpture,1003.jpg
467,RC-1573 - King and Hawk Relief Model,Egyptian,,332-31 BCE,Greek,Limestone,Epigraphy,308.jpg
468,RC-1574 - Bast Cat,Egyptian,26TH,685-525 BCE,Saite Period,Bronze,Sculpture,1006.jpg
469,RC-1575 - Senebi the Overseer,Egyptian,12TH,Middle Kingdom,Middle Kingdom,Wood,Funerary,464.jpg
470,RC-1576 - Axe,Egyptian,26TH,685-525 BCE,3rd Intermediate,Bronze,Tools,887.jpg
471,RC-1580 - Fish Cleaning Relief Fragment,Egyptian,26TH,685-525 BCE,Saite Period,Limestone,Epigraphy,744.jpg
472,RC-1582 - Cleopatra VII,Egyptian,,51-30 BCE,Ptolemaic,Basalt,Sculpture,432.jpg
473,RC-1583 - Striding Pekher-Knonsu,Egyptian,,332-31 BCE,Ptolemaic,Diorite,Sculpture,625.jpg
474,RC-1584 - Stele,Egyptian,18TH,1580 - 1350 BCE,New Kingdom,Stone,Funerary,67.jpg
475,RC-1585 - Early Dynastic Coffin,Egyptian,,3050-2663 BCE,Early Dynastic,Wood,Funerary,78.jpg
476,RC-1586 - Ahnes-Sa-Pa-Iry Stele,Egyptian,18TH,1570-1293 BCE,New Kingdom,Limestone,Funerary,766.jpg
477,RC-1593 - Coffin Fragment/ Head,Egyptian,,,,Clay,Funerary,23.jpg
478,RC-1594 - Bowl,Egyptian,5TH,2524-2400 BCE,Old Kingdom,Stone,Vessels,47.jpg
479,RC-1599 - Shawabti,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Funerary,31.jpg
480,RC-1605 - Standing Sekhmet,Egyptian,18TH,1390-1352 BCE,New Kingdom,Gabbro Porphyry,Sculpture,248.jpg
481,RC-1606 - Stele,Egyptian,26TH,685-525 BCE,Saite Period,Wood,Funerary,504.jpg
482,RC-1607 - Cat Mummy,Egyptian,4TH,2630-2524 BCE,Old Kingdom,Animal Remains,Funerary,1007.jpg
483,RC-1608 - Christ Monogram Lamp,,,,,Bronze,Lamps,232.jpg
484,RC-1609 - Balustrade Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Sculpture,910.jpg
485,RC-1612 - Head Rest,Egyptian,,1570 - 1070 BCE,New Kingdom,Wood,Furniture,490.jpg
486,RC-1619 - Onasses Plaque,Mesopotamian,,800 - 700 BCE,,Terracotta,Babylonian,302.jpg
